Constituency,Candidates,Votes
Aruku,11,1074538
Andaman & Nicobar Islands,16,207296
Srikakulam,10,1157329
Vizianagaram,15,1217890
Visakhapatnam,15,1239754
Anakapalli,11,1238491
Kakinada,16,1234655
Amalapuram,11,1232895
Rajahmundry,12,1250427
Narsapuram,16,1177738
Eluru,11,1327923
Machilipatnam,13,1244570
Vijayawada,16,1277711
Guntur,20,1351474
Narasaraopet,14,1437420
Bapatla,14,1266492
Ongole,14,1342368
Nandyal,21,1299093
Kurnool,17,1183035
Anantapur,15,1342306
Hindupur,10,1338514
Kadapa,16,1228242
Nellore,14,1287036
Tirupati,13,1313515
Rajampet,10,1224354
Chittoor,9,1319472
ARUNACHAL WEST,8,358310
CHANDIGARH,37,456568
ARUNACHAL EAST,6,293781
Karimganj,15,1060072
Dadra And Nagar Haveli,12,198983
Silchar,14,949696
Autonomous District,6,617735
Dhubri,16,1685005
Kokrajhar,10,1479485
Barpeta,14,1458549
Gauhati,18,1763757
Mangaldoi,12,1506107
Tezpur,8,1190196
Nowgong,8,1493475
Kaliabor,8,1424687
Jorhat,9,1057965
Dibrugarh,9,1015748
Lakhimpur,12,1283589
Valmiki Nagar,14,1032090
Daman & diu,5,87469
Paschim Champaran,10,1012936
Purvi Champaran,23,999400
Sheohar,19,1004559
Sitamarhi,21,1038849
Madhubani,18,963708
Jhanjharpur,18,1060562
Supaul,21,1110805
Araria,13,1169630
Kishanganj,15,1101603
Katihar,10,1117734
Purnia,17,1153940
Madhepura,14,1147274
Darbhanga,9,964996
Muzaffarpur,23,1058086
Vaishali,23,1074730
Gopalganj (SC),14,1024876
Siwan,20,984810
Maharajganj,12,972703
Saran,13,941656
Hajipur (SC),12,1006817
Ujiarpur,19,969284
Samastipur (SC),12,1019025
Begusarai,11,1225594
Khagaria,21,966813
Bhagalpur,10,1042518
Banka,21,995806
Munger,20,1036268
Nalanda,36,1031286
Patna Sahib,19,982285
Pataliputra,26,1077749
Arrah,12,1080684
Buxar,16,986861
Sasaram (SC),14,974749
Karakat,28,868798
Jahanabad,14,822065
Aurangabad,10,934901
Gaya (SC),14,957248
Nawada,14,942462
Jamui (SC),10,949137
North Goa,7,428628
CHANDNI CHOWK,27,980390
South Goa,7,424575
NORTH EAST DELHI,25,1461475
EAST DELHI,27,1257821
NEW DELHI,28,920541
NORTH WEST DELHI,12,1402962
WEST DELHI,24,1441601
SOUTH DELHI,28,1214222
Kachchh,11,1023198
Lakshadweep,7,47009
Banaskantha,15,1102081
Patan,13,1126256
Mahesana,13,1081938
Sabarkantha,21,1218353
Gandhinagar,18,1284090
Ahmedabad East,27,1116367
Ahmedabad West,14,997024
Surendranagar,32,1077726
Rajkot,11,1195271
Porbandar,18,949947
Jamnagar,29,1010965
Junagadh,13,1004743
Amreli,13,909167
Bhavnagar,11,1041279
Anand,11,1108661
Kheda,8,1098633
Panchmahal,7,1083676
Dahod,8,1063212
Vadodara,14,1222348
Chhota Udaipur,9,1232459
Bharuch,18,1149725
Bardoli,13,1348038
Surat,14,1068412
Navsari,26,1308018
Valsad,10,1260377
Ambala,19,1316235
Puducherry,19,790760
Kurukshetra,25,1230202
Sirsa,21,1369486
Hisar,27,1179869
Karnal,17,1300722
Sonipat,30,1129532
Rohtak,19,1220571
Bhiwani,22,1161115
Gurgaon,25,1446509
Faridabad,28,1327295
Kangra,12,1006989
Mandi,18,941371
Hamirpur,12,988765
Shimla,7,913607
Chikkodi,12,1217549
Belgaum,58,1205229
Bagalkot,15,1204613
Bijapur,13,1111354
Gulbarga,13,1189361
Raichur,6,1124385
Bidar,23,1117167
Koppal,15,1190347
Bellary,12,1221926
Haveri,11,1266679
Dharwad,20,1213505
Uttara Kannada,14,1153480
Davanagere,26,1194586
Shimoga,13,1283577
Udupi Chikmagalur,13,1151012
Hassan,7,1277552
Dakshina Kannada,14,1345039
Chitradurga,20,1245950
Tumkur,16,1244858
Mandya,23,1379210
Mysore,23,1318041
Chamarajanagar,11,1270658
Bangalore Rural,16,1621906
Bangalore North,32,1559459
Bangalore central,23,1197234
Bangalore South,26,1188491
Chikkballapur,16,1386963
Kolar,15,1258551
Kasaragod,10,1100051
Kannur,14,1053842
Vadakara,13,1065619
Wayanad,21,1092197
Kozhikode,15,1076193
Malappuram,9,1034618
Ponnani,13,1017265
Palakkad,10,1028249
Alathur,7,1018743
Thrissur,9,1041869
Chalakudy,14,990224
Ernakulam,14,967203
Idukki,9,919297
Kottayam,8,910339
Alappuzha,13,1088728
Mavelikkara,11,971035
Pathanamthitta,9,1026553
Kollam,10,968123
Attingal,20,1004888
Thiruvananthapuram,18,1010180
MORENA,26,1137290
BHIND,19,960687
GWALIOR,19,1196096
GUNA,14,1178423
SAGAR,11,1037175
TIKAMGARH,15,1096712
DAMOH,16,1164226
KHAJURAHO,18,1257783
SATNA,22,1113656
REWA,24,1013251
SIDHI,27,1282705
SHAHDOL,14,1237858
JABALPUR,23,1263573
MANDLA,11,1517255
BALAGHAT,24,1372018
CHHINDWARA,15,1248031
HOSHANGABAD,12,1265869
VIDISHA,14,1250244
BHOPAL,31,1407954
RAJGARH,12,1260329
DEWAS,7,1398946
UJJAIN,10,1252511
