Constituency,Margin,Party
Amalapuram ,39795,Yuvajana Sramika Rythu Congress Party
Anakapalli,89192,Yuvajana Sramika Rythu Congress Party
Anantapur,141428,Yuvajana Sramika Rythu Congress Party
Aruku ,224089,Yuvajana Sramika Rythu Congress Party
Bapatla ,16065,Yuvajana Sramika Rythu Congress Party
Chittoor ,137271,Yuvajana Sramika Rythu Congress Party
Eluru ,165925,Yuvajana Sramika Rythu Congress Party
Guntur,4205,Telugu Desam
Hindupur,140748,Yuvajana Sramika Rythu Congress Party
Kadapa,380726,Yuvajana Sramika Rythu Congress Party
Andaman & Nicobar Islands,1407,Indian National Congress
Kakinada,25738,Yuvajana Sramika Rythu Congress Party
Kurnool,148903,Yuvajana Sramika Rythu Congress Party
Machilipatnam ,60238,Yuvajana Sramika Rythu Congress Party
Nandyal,250119,Yuvajana Sramika Rythu Congress Party
Narasaraopet,154002,Yuvajana Sramika Rythu Congress Party
Narsapuram,32676,Yuvajana Sramika Rythu Congress Party
Nellore,148571,Yuvajana Sramika Rythu Congress Party
Ongole ,214851,Yuvajana Sramika Rythu Congress Party
Rajahmundry,121634,Yuvajana Sramika Rythu Congress Party
Rajampet,268284,Yuvajana Sramika Rythu Congress Party
Srikakulam,6653,Telugu Desam
Tirupati ,228376,Yuvajana Sramika Rythu Congress Party
Vijayawada,8726,Telugu Desam
Visakhapatnam,4414,Yuvajana Sramika Rythu Congress Party
Vizianagaram,48036,Yuvajana Sramika Rythu Congress Party
ARUNACHAL EAST,69948,Bharatiya Janata Party
ARUNACHAL WEST,174843,Bharatiya Janata Party
CHANDIGARH,46970,Bharatiya Janata Party
Autonomous District,239626,Bharatiya Janata Party
Barpeta,140307,Indian National Congress
Dhubri,226258,All India United Democratic Front
Dibrugarh,364566,Bharatiya Janata Party
Gauhati,345606,Bharatiya Janata Party
Jorhat,82653,Bharatiya Janata Party
Kaliabor,209994,Indian National Congress
Karimganj ,38389,Bharatiya Janata Party
Kokrajhar,37786,Independent
Lakhimpur,350551,Bharatiya Janata Party
Dadar & Nagar Haveli,9001,Independent
Mangaldoi,138545,Bharatiya Janata Party
Nowgong,16752,Indian National Congress
Silchar,81596,Bharatiya Janata Party
Tezpur,242841,Bharatiya Janata Party
Araria,137241,Bharatiya Janata Party
Arrah,147285,Bharatiya Janata Party
Aurangabad,70552,Bharatiya Janata Party
Banka,200532,Janata Dal  (United)
Begusarai,422217,Bharatiya Janata Party
Bhagalpur,277630,Janata Dal  (United)
Buxar,117609,Bharatiya Janata Party
Darbhanga,267979,Bharatiya Janata Party
Gaya (SC),152426,Janata Dal  (United)
Gopalganj (SC),286434,Janata Dal  (United)
Daman & diu,9942,Bharatiya Janata Party
Hajipur (SC),205449,Lok Jan Shakti Party
Jahanabad,1751,Janata Dal  (United)
Jamui (SC),241049,Lok Jan Shakti Party
Jhanjharpur,322951,Janata Dal  (United)
Karakat,84542,Janata Dal  (United)
Katihar,57203,Janata Dal  (United)
Khagaria,248570,Lok Jan Shakti Party
Kishanganj,34466,Indian National Congress
Madhepura,301527,Janata Dal  (United)
Madhubani,454940,Bharatiya Janata Party
Maharajganj,230772,Bharatiya Janata Party
Munger,167937,Janata Dal  (United)
Muzaffarpur,409988,Bharatiya Janata Party
Nalanda,256137,Janata Dal  (United)
Nawada,148072,Lok Jan Shakti Party
Paschim Champaran,293906,Bharatiya Janata Party
Pataliputra,39321,Bharatiya Janata Party
Patna Sahib,284657,Bharatiya Janata Party
Purnia,263461,Janata Dal  (United)
Purvi Champaran,293648,Bharatiya Janata Party
Samastipur (SC),251643,Lok Jan Shakti Party
Saran,138429,Bharatiya Janata Party
Sasaram (SC),165745,Bharatiya Janata Party
Sheohar,340360,Bharatiya Janata Party
Sitamarhi,250539,Janata Dal  (United)
Siwan,116958,Janata Dal  (United)
Supaul,266853,Janata Dal  (United)
Ujiarpur,277278,Bharatiya Janata Party
